name,code,zbmath_url,wikidata,orcid,mgp,google_scholar
John W. Wrench,wrench.john-w-jun,https://zbmath.org/authors/wrench.john-w-jun,Q6264951,,42955,
Joni Teräväinen,teravainen.joni,https://zbmath.org/authors/teravainen.joni,Q102995443,,238884,tRjKH2sAAAAJ
Jori Merikoski,merikoski.jori,https://zbmath.org/authors/merikoski.jori,,,,
Joël Rivat,rivat.joel,https://zbmath.org/authors/rivat.joel,Q102402368,,167770,
Julia Brandes,brandes.julia,https://zbmath.org/authors/brandes.julia,Q102618198,,214202,
Jörg Brüdern,brudern.jorg,https://zbmath.org/authors/brudern.jorg,Q1122696,,26090,
K. Soundararajan,soundararajan.kannan,https://zbmath.org/authors/soundararajan.kannan,Q1356865,0000-0002-7595-0700,53166,sICqWrcAAAAJ
Kaisa Matomäki,matomaki.kaisa,https://zbmath.org/authors/matomaki.kaisa,Q27061623,,143470,qInWbTIAAAAJ
Karin Halupczok,halupczok.karin,https://zbmath.org/authors/halupczok.karin,,,,
Keiji Oguiso,oguiso.keiji,https://zbmath.org/authors/oguiso.keiji,Q102429185,,189365,
Kevin Broughan,broughan.kevin-a,https://zbmath.org/authors/broughan.kevin-a,,,,
Kevin Ford,ford.kevin-b,https://zbmath.org/authors/ford.kevin-b,Q48969701,,867,
Kevin Hughes,hughes.kevin,https://zbmath.org/authors/hughes.kevin,Q102407902,0000-0002-8621-8259,173178,
Kohji Matsumoto,matsumoto.kohji,https://zbmath.org/authors/matsumoto.kohji,Q6426011,,144727,
Koichi Kawada,kawada.koichi,https://zbmath.org/authors/kawada.koichi,,,,
Kyle Pratt,pratt.kyle,https://zbmath.org/authors/pratt.kyle,,,,
L. Carlitz,carlitz.leonard,https://zbmath.org/authors/carlitz.leonard,Q381322,,20327,
Lasse Grimmelt,grimmelt.lasse,https://zbmath.org/authors/grimmelt.lasse,,,,
Lawrence S. Levy,levy.lawrence-s,https://zbmath.org/authors/levy.lawrence-s,,,,
Leo Goldmakher,goldmakher.leo,https://zbmath.org/authors/goldmakher.leo,Q102355457,,138920,
Liangyi Zhao,zhao.liangyi,https://zbmath.org/authors/zhao.liangyi,,,,
Lior Bary-Soroker,bary-soroker.lior,https://zbmath.org/authors/bary-soroker.lior,Q102347717,,132345,
M. Ram Murty,murty.maruti-ram,https://zbmath.org/authors/murty.maruti-ram,Q470508,,30592,
Maksym Radziwiłł,radziwill.maksym,https://zbmath.org/authors/radziwill.maksym,Q27061958,,177066,
Malik Bataineh,bataineh.malik,https://zbmath.org/authors/bataineh.malik,,,,
Marek Wolf,wolf.marek,https://zbmath.org/authors/wolf.marek,,,,
Matt Visser,visser.matt,https://zbmath.org/authors/visser.matt,Q6789473,0000-0003-1088-6485,195970,uYKUPTwAAAAJ
Matteo Bordignon,bordignon.matteo,https://zbmath.org/authors/bordignon.matteo,,,,
Maxim Aleksandrovich Korolev,korolev.maxim-a,https://zbmath.org/authors/korolev.maxim-a,Q55102661,,88419,
Melvyn B. Nathanson,nathanson.melvyn-bernard,https://zbmath.org/authors/nathanson.melvyn-bernard,Q15433045,0000-0002-6191-9374,5981,jvRZiKcAAAAJ
